id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
68,2020-07-13 22:01:20,S_SF002,S_SF002 Sepnil Instant Hand Sanitizer 200ml,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""21 Sepnil Instant Hand Sanitizer 200ml""}}, {""added"": {""name"": ""item details"", ""object"": ""Sepnil Instant Hand Sanitizer 200ml""}}]",15,1
69,2020-07-13 22:04:14,S_SF003,S_SF003 Jumper Pulse Oxy-met,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""22 Jumper Pulse Oxy-met""}}, {""added"": {""name"": ""item details"", ""object"": ""Jumper Pulse Oxy-met""}}]",15,1
70,2020-07-13 22:06:04,S_SF004,S_SF004 Dettol Antiseptic Liquid brown 500ml,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""23 Dettol Antiseptic Liquid brown 500ml""}}, {""added"": {""name"": ""item details"", ""object"": ""Dettol Antiseptic Liquid brown 500ml""}}]",15,1
71,2020-07-13 22:07:55,S_SF005,S_SF005 Dettol Antiseptic Liquid brown 1000ml,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""24 Dettol Antiseptic Liquid brown 1000ml""}}, {""added"": {""name"": ""item details"", ""object"": ""Dettol Antiseptic Liquid brown 1000ml""}}]",15,1
72,2020-07-13 22:10:02,S_SF006,S_SF006 Dettol Handwash ( cool 200ml Pump),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""25 Dettol Handwash ( cool 200ml Pump)""}}, {""added"": {""name"": ""item details"", ""object"": ""Dettol Handwash ( cool 200ml Pump)""}}]",15,1
73,2020-07-13 22:10:21,S_SF006,S_SF006 Dettol Handwash ( cool 200ml Pump),2,"[{""changed"": {""name"": ""item details"", ""object"": ""Dettol Handwash ( cool 200ml Pump)"", ""fields"": [""Slug""]}}]",15,1
74,2020-07-13 22:11:11,S_SF007,S_SF007 Dettol Handwash (gold (200ml Pump),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""26 Dettol Handwash (gold (200ml Pump)""}}, {""added"": {""name"": ""item details"", ""object"": ""Dettol Handwash (gold (200ml Pump)""}}]",15,1
75,2020-07-13 22:14:04,S_SF008,S_SF008 Dettol Handwash (gold (170 Refill),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""27 Dettol Handwash (gold (170 Refill)""}}, {""added"": {""name"": ""item details"", ""object"": ""Dettol Handwash (gold (170 Refill)""}}]",15,1
76,2020-07-13 22:16:10,S_SF009,S_SF009 Dettol Handwash ( Re-energize) (200ml pump),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""28 Dettol Handwash ( Re-energize) (200ml pump)""}}, {""added"": {""name"": ""item details"", ""object"": ""Dettol Handwash ( Re-energize) (200ml pump)""}}]",15,1
77,2020-07-13 22:17:25,S_SF010,"S_SF010 Dettol Handwash ( Original, 170ml)",1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""29 Dettol Handwash ( Original, 170ml)""}}, {""added"": {""name"": ""item details"", ""object"": ""Dettol Handwash ( Original, 170ml)""}}]",15,1
78,2020-07-13 22:19:08,S_SF011,"S_SF011 Dettol Handwash ( Original, 200ml Pump)",1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""30 Dettol Handwash ( Original, 200ml Pump)""}}, {""added"": {""name"": ""item details"", ""object"": ""Dettol Handwash ( Original, 200ml Pump)""}}]",15,1
79,2020-07-13 22:21:07,S_SF012,S_SF012 Sepnil Disinfectant Spray (300ml),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""31 Sepnil Disinfectant Spray (300ml)""}}, {""added"": {""name"": ""item details"", ""object"": ""Sepnil Disinfectant Spray (300ml)""}}]",15,1
80,2020-07-13 22:23:26,S_SF013,S_SF013 Yingbo 5 layer  KN95 mask,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""32 Yingbo 5 layer  KN95 mask""}}, {""added"": {""name"": ""item images"", ""object"": ""33 Yingbo 5 layer  KN95 mask""}}, {""added"": {""name"": ""item details"", ""object"": ""Yingbo 5 layer  KN95 mask""}}]",15,1
81,2020-07-13 22:27:51,S_SF014,S_SF014 McCons  KN95 mask,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""34 McCons  KN95 mask""}}, {""added"": {""name"": ""item images"", ""object"": ""35 McCons  KN95 mask""}}, {""added"": {""name"": ""item details"", ""object"": ""McCons  KN95 mask""}}]",15,1
82,2020-07-13 22:30:27,S_SF013,S_SF013 Yingbo 5 layer  KN95 mask,2,"[{""changed"": {""fields"": [""Price""]}}, {""changed"": {""name"": ""item details"", ""object"": ""Yingbo 5 layer  KN95 mask"", ""fields"": [""Discount offer""]}}]",15,1
83,2020-07-13 22:31:46,S_SF001,S_SF001 Sepnil Instant Hand Sanitizer 40ml,2,"[{""added"": {""name"": ""item images"", ""object"": ""36 Sepnil Instant Hand Sanitizer 40ml""}}]",15,1
84,2020-07-13 22:33:11,S_SF015,S_SF015 AFK YK009 Pulse Oximetere,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""37 AFK YK009 Pulse Oximetere""}}, {""added"": {""name"": ""item images"", ""object"": ""38 AFK YK009 Pulse Oximetere""}}, {""added"": {""name"": ""item details"", ""object"": ""AFK YK009 Pulse Oximetere""}}]",15,1
85,2020-07-13 22:37:41,S_SF016,S_SF016 IMDK C101A2 Pulse Oximetere,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""39 IMDK C101A2 Pulse Oximetere""}}, {""added"": {""name"": ""item images"", ""object"": ""40 IMDK C101A2 Pulse Oximetere""}}, {""added"": {""name"": ""item details"", ""object"": ""IMDK C101A2 Pulse Oximetere""}}]",15,1
86,2020-07-13 22:39:58,S_SF017,S_SF017 DIKANG Medical Infrared Thermometer,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""41 DIKANG Medical Infrared Thermometer""}}, {""added"": {""name"": ""item images"", ""object"": ""42 DIKANG Medical Infrared Thermometer""}}, {""added"": {""name"": ""item details"", ""object"": ""DIKANG Medical Infrared Thermometer""}}]",15,1
87,2020-07-13 22:45:38,S_SF018,S_SF018 Safety Goggles Standard,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""43 Safety Goggles Standard""}}, {""added"": {""name"": ""item images"", ""object"": ""44 Safety Goggles Standard""}}, {""added"": {""name"": ""item images"", ""object"": ""45 Safety Goggles Standard""}}, {""added"": {""name"": ""item details"", ""object"": ""Safety Goggles Standard""}}]",15,1
88,2020-07-13 22:48:30,S_SF019,S_SF019 Safety Goggles Basic,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""46 Safety Goggles Basic""}}, {""added"": {""name"": ""item images"", ""object"": ""47 Safety Goggles Basic""}}, {""added"": {""name"": ""item images"", ""object"": ""48 Safety Goggles Basic""}}, {""added"": {""name"": ""item details"", ""object"": ""Safety Goggles Basic""}}]",15,1
89,2020-07-13 22:50:23,S_SF020,S_SF020 OMRON Automatic Blood Pressure Monitor,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""49 OMRON Automatic Blood Pressure Monitor""}}, {""added"": {""name"": ""item details"", ""object"": ""OMRON Automatic Blood Pressure Monitor""}}]",15,1
90,2020-07-13 22:55:54,S_SF021,S_SF021 Medisina Blood Pressure Machine,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""50 Medisina Blood Pressure Machine""}}, {""added"": {""name"": ""item details"", ""object"": ""Medisina Blood Pressure Machine""}}]",15,1
91,2020-07-13 22:56:51,S_SF022,S_SF022 Hongyi Brand Infrared Contact Less Thermomete,1,"[{""added"": {}}, {""added"": {""name"": ""item details"", ""object"": ""Hongyi Brand Infrared Contact Less Thermomete""}}]",15,1
92,2020-07-13 22:57:53,S_SF023,S_SF023 IML Manual Pressure Machine,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""51 IML Manual Pressure Machine""}}, {""added"": {""name"": ""item details"", ""object"": ""IML Manual Pressure Machine""}}]",15,1
93,2020-07-13 22:59:31,S_SF024,S_SF024 NTFS Facial Steamer/ Electric Vaporizer,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""52 NTFS Facial Steamer/ Electric Vaporizer""}}, {""added"": {""name"": ""item details"", ""object"": ""NTFS Facial Steamer/ Electric Vaporizer""}}]",15,1
94,2020-07-13 23:00:35,S_SF025,S_SF025 Mediciser Respiratory Exerciser,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""53 Mediciser Respiratory Exerciser""}}, {""added"": {""name"": ""item details"", ""object"": ""Mediciser Respiratory Exerciser""}}]",15,1
95,2020-07-13 23:01:36,S_SF022,S_SF022 Hongyi Brand Infrared Contact Less Thermomete,2,"[{""added"": {""name"": ""item images"", ""object"": ""54 Hongyi Brand Infrared Contact Less Thermomete""}}]",15,1
96,2020-07-14 16:42:42,23,Somikoron Special (Somikoron Special),1,"[{""added"": {}}]",18,1
97,2020-07-14 17:10:04,S_GR0021,S_GR0021 Chashi Aromatic Chinigura Rice 1kg,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""55 Chashi Aromatic Chinigura Rice 1kg""}}, {""added"": {""name"": ""item details"", ""object"": ""Chashi Aromatic Chinigura Rice 1kg""}}]",15,1
98,2020-07-14 17:12:49,S_GR0022,S_GR0022 Radhuni Mustard Oil 1000ml,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""56 Radhuni Mustard Oil 1000ml""}}, {""added"": {""name"": ""item details"", ""object"": ""Radhuni Mustard Oil 1000ml""}}]",15,1
99,2020-07-14 17:17:13,S_GR0023,S_GR0023 Rupchada Soyabean Oil 2ltr,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""57 Rupchada Soyabean Oil 2ltr""}}, {""added"": {""name"": ""item details"", ""object"": ""Rupchada Soyabean Oil 2ltr""}}]",15,1
100,2020-07-14 17:29:33,S_GR0024,S_GR0024 Rupchada Soyabean Oil 5ltr,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""58 Rupchada Soyabean Oil 5ltr""}}, {""added"": {""name"": ""item details"", ""object"": ""Rupchada Soyabean Oil 5ltr""}}]",15,1
101,2020-07-14 17:30:39,S_GR0025,S_GR0025 Teer Sugar 1kg,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""59 Teer Sugar 1kg""}}, {""added"": {""name"": ""item details"", ""object"": ""Teer Sugar 1kg""}}]",15,1
102,2020-07-14 17:33:27,S_GR0026,S_GR0026 Ispahani Mirzapore Best Leaf 200 gm,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""60 Ispahani Mirzapore Best Leaf 200 gm""}}, {""added"": {""name"": ""item details"", ""object"": ""Ispahani Mirzapore Best Leaf 200 gm""}}]",15,1
103,2020-07-14 17:35:24,S_GR0027,S_GR0027 Ispahani Mirzapore Best Leaf 400 gm,1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""61 Ispahani Mirzapore Best Leaf 400 gm""}}, {""added"": {""name"": ""item details"", ""object"": ""Ispahani Mirzapore Best Leaf 400 gm""}}]",15,1
